City,Date,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,AQI,AQI_Bucket,Valid_AQI,AQI_Outlier,Year,Month,DayOfWeek,DayOfYear,Season,Target_AQI,AQI_Lag1,AQI_Lag2,AQI_Lag3,AQI_Lag7,AQI_Roll3,AQI_Roll7,PM2.5_Lag1,PM10_Lag1,NO2_Lag1,CO_Lag1,SO2_Lag1,O3_Lag1,AQI_Change1,PM25_Change1,Month_Sin,Month_Cos,DayOfYear_Sin,DayOfYear_Cos
Amaravati,2017-11-24,71.36,115.75,1.75,20.65,12.4,12.19,0.1,10.76,109.26,,,,0,2017,11,4,328,Post-Monsoon,184.0,,,,,,,,,,,,,,,-0.5000000000000004,0.8660254037844384,-0.5978291414589552,0.801623551065242
Amaravati,2017-11-25,81.4,124.5,1.44,20.5,12.08,10.72,0.12,15.24,127.09,184.0,Moderate,184.0,0,2017,11,5,329,Post-Monsoon,197.0,,,,,,,71.36,115.75,20.65,0.1,10.76,109.26,,10.040000000000006,-0.5000000000000004,0.8660254037844384,-0.5839514998576998,0.8117885474764613
Amaravati,2017-11-26,78.32,129.06,1.26,26.0,14.85,10.28,0.14,26.96,117.44,197.0,Moderate,197.0,0,2017,11,6,330,Post-Monsoon,198.0,184.0,,,,,,81.4,124.5,20.5,0.12,15.24,127.09,13.0,-3.0800000000000125,-0.5000000000000004,0.8660254037844384,-0.5699010576127624,0.8217133225960589
Amaravati,2017-11-27,88.76,135.32,6.6,30.85,21.77,12.91,0.11,33.59,111.81,198.0,Moderate,198.0,0,2017,11,0,331,Post-Monsoon,188.0,197.0,184.0,,,,,78.32,129.06,26.0,0.14,26.96,117.44,1.0,10.440000000000012,-0.5000000000000004,0.8660254037844384,-0.5556819724760489,0.8313949395234058
Amaravati,2017-11-28,64.18,104.09,2.56,28.07,17.01,11.42,0.09,19.0,138.18,188.0,Moderate,188.0,0,2017,11,1,332,Post-Monsoon,173.0,198.0,197.0,184.0,,193.0,,88.76,135.32,30.85,0.11,33.59,111.81,-10.0,-24.58,-0.5000000000000004,0.8660254037844384,-0.5412984521036173,0.8408305333122887
Amaravati,2017-11-29,72.47,114.84,5.23,23.2,16.59,12.25,0.16,10.55,109.74,173.0,Moderate,173.0,0,2017,11,2,333,Post-Monsoon,165.0,188.0,198.0,197.0,,194.33333333333334,,64.18,104.09,28.07,0.09,19.0,138.18,-15.0,8.289999999999992,-0.5000000000000004,0.8660254037844384,-0.5267547528105542,0.8500173118187018
Amaravati,2017-11-30,69.8,114.86,4.69,20.17,14.54,10.95,0.12,14.07,118.09,165.0,Moderate,165.0,0,2017,11,3,334,Post-Monsoon,191.0,173.0,188.0,198.0,,186.33333333333334,,72.47,114.84,23.2,0.16,10.55,109.74,-8.0,-2.6700000000000017,-0.5000000000000004,0.8660254037844384,-0.5120551783114646,0.8589525565270845
Amaravati,2017-12-01,73.96,113.56,4.58,19.29,13.97,10.95,0.1,13.9,123.8,191.0,Moderate,191.0,0,2017,12,4,335,Winter,191.0,165.0,173.0,188.0,,175.33333333333334,,69.8,114.86,20.17,0.12,14.07,118.09,26.0,4.159999999999997,-2.4492935982947064e-16,1.0,-0.4972040784469378,0.8676336233547726
Amaravati,2017-12-02,89.9,140.2,7.71,26.19,19.87,13.12,0.1,19.37,128.73,191.0,Moderate,191.0,0,2017,12,5,336,Winter,227.0,191.0,165.0,173.0,184.0,176.33333333333334,185.14285714285714,73.96,113.56,19.29,0.1,13.9,123.8,0.0,15.940000000000012,-2.4492935982947064e-16,1.0,-0.4822058478963526,0.8760579434344281
Amaravati,2017-12-03,87.14,130.52,0.97,21.31,12.12,14.36,0.15,11.41,114.8,227.0,Poor,227.0,0,2017,12,6,337,Winter,168.0,191.0,191.0,165.0,197.0,182.33333333333334,186.14285714285714,89.9,140.2,26.19,0.1,19.37,128.73,36.0,-2.760000000000005,-2.4492935982947064e-16,1.0,-0.46706492487743034,0.8842230238742036
Amaravati,2017-12-04,84.64,125.0,4.02,26.98,17.58,14.41,0.18,9.84,112.41,168.0,Moderate,168.0,0,2017,12,0,338,Winter,198.0,227.0,191.0,191.0,198.0,203.0,190.42857142857142,87.14,130.52,21.31,0.15,11.41,114.8,-59.0,-2.5,-2.4492935982947064e-16,1.0,-0.451785789832884,0.8921264484954345
Amaravati,2017-12-05,88.36,121.77,3.7,20.23,13.75,13.72,0.12,14.02,117.93,198.0,Moderate,198.0,0,2017,12,1,339,Winter,201.0,168.0,227.0,191.0,188.0,195.33333333333334,186.14285714285714,84.64,125.0,26.98,0.18,9.84,112.41,30.0,3.719999999999999,-2.4492935982947064e-16,1.0,-0.4363729641045924,0.8997658785476209
Amaravati,2017-12-06,96.83,139.36,1.6,25.65,14.99,15.12,0.11,16.54,117.21,201.0,Poor,201.0,0,2017,12,2,340,Winter,252.0,198.0,168.0,227.0,173.0,197.66666666666666,187.57142857142858,88.36,121.77,20.23,0.12,14.02,117.93,3.0,8.469999999999999,-2.4492935982947064e-16,1.0,-0.42083100859565564,0.9071390534005044
Amaravati,2017-12-07,117.46,181.64,4.26,41.1,25.32,17.34,0.13,28.79,94.63,252.0,Poor,252.0,0,2017,12,3,341,Winter,310.0,201.0,198.0,168.0,165.0,189.0,191.57142857142858,96.83,139.36,25.65,0.11,16.54,117.21,51.0,20.629999999999995,-2.4492935982947064e-16,1.0,-0.4051645224207563,0.9142437912130223
Amaravati,2017-12-08,122.88,208.86,5.56,54.87,33.71,17.96,0.27,22.97,68.6,310.0,Very Poor,310.0,0,2017,12,4,342,Winter,196.0,252.0,201.0,198.0,191.0,217.0,204.0,117.46,181.64,41.1,0.13,28.79,94.63,58.0,5.420000000000002,-2.4492935982947064e-16,1.0,-0.3893781415452015,0.9210779895789526
Amaravati,2017-12-09,74.28,141.22,6.1,44.97,28.88,15.73,0.09,21.9,60.62,196.0,Moderate,196.0,0,2017,12,5,343,Winter,132.0,310.0,252.0,201.0,191.0,254.33333333333334,221.0,122.88,208.86,54.87,0.27,22.97,68.6,-114.0,-48.599999999999994,-2.4492935982947064e-16,1.0,-0.37347653741307074,0.9276396261490467
Amaravati,2017-12-10,50.32,102.77,1.73,33.85,19.41,12.56,0.1,13.65,68.15,132.0,Moderate,132.0,0,2017,12,6,344,Winter,147.0,196.0,310.0,252.0,227.0,252.66666666666666,221.71428571428572,74.28,141.22,44.97,0.09,21.9,60.62,-64.0,-23.96,-2.4492935982947064e-16,1.0,-0.3574644155648614,0.9339267592294762
Amaravati,2017-12-11,58.47,115.27,4.93,41.64,26.15,15.2,0.16,18.37,73.75,147.0,Moderate,147.0,0,2017,12,0,345,Winter,179.0,132.0,196.0,310.0,168.0,212.66666666666666,208.14285714285714,50.32,102.77,33.85,0.1,13.65,68.15,15.0,8.149999999999999,-2.4492935982947064e-16,1.0,-0.34134651424503615,0.9399375283564133
Amaravati,2017-12-12,89.35,131.48,7.97,42.1,28.88,21.24,0.24,7.42,44.67,179.0,Moderate,179.0,0,2017,12,1,346,Winter,145.0,147.0,132.0,196.0,198.0,158.33333333333334,205.14285714285714,58.47,115.27,41.64,0.16,18.37,73.75,32.0,30.879999999999995,-2.4492935982947064e-16,1.0,-0.3251276029999093,0.9456701548465688
Amaravati,2017-12-13,64.42,99.74,7.2,34.78,24.36,17.63,0.15,5.81,50.16,145.0,Moderate,145.0,0,2017,12,2,347,Winter,115.0,179.0,147.0,132.0,201.0,152.66666666666666,202.42857142857142,89.35,131.48,42.1,0.24,7.42,44.67,-34.0,-24.929999999999993,-2.4492935982947064e-16,1.0,-0.30881248126625377,0.9511229423235357
Amaravati,2017-12-14,69.4,98.94,5.81,29.97,20.67,19.34,0.14,5.8,55.0,115.0,Moderate,115.0,0,2017,12,3,348,Winter,140.0,145.0,179.0,147.0,252.0,157.0,194.42857142857142,64.42,99.74,34.78,0.15,5.81,50.16,-30.0,4.980000000000004,-2.4492935982947064e-16,1.0,-0.29240597695107734,0.9562942772197719
Amaravati,2017-12-15,71.07,109.65,4.19,25.0,16.7,16.0,0.1,8.33,79.04,140.0,Moderate,140.0,0,2017,12,4,349,Winter,156.0,115.0,145.0,179.0,310.0,146.33333333333334,174.85714285714286,69.4,98.94,29.97,0.14,5.8,55.0,25.0,1.6699999999999875,-2.4492935982947064e-16,1.0,-0.27591294500296043,0.9611826292540837
Amaravati,2017-12-16,79.76,129.81,8.77,40.92,28.84,15.56,0.17,8.51,73.17,156.0,Moderate,156.0,0,2017,12,5,350,Winter,225.0,140.0,115.0,145.0,196.0,133.33333333333334,150.57142857142858,71.07,109.65,25.0,0.1,8.33,79.04,16.0,8.690000000000012,-2.4492935982947064e-16,1.0,-0.2593382659754056,0.9657865518844574
Amaravati,2017-12-17,108.06,167.62,7.29,47.05,30.94,18.52,0.08,16.05,70.74,225.0,Poor,225.0,0,2017,12,6,351,Winter,251.0,156.0,140.0,115.0,132.0,137.0,144.85714285714286,79.76,129.81,40.92,0.17,8.51,73.17,69.0,28.299999999999997,-2.4492935982947064e-16,1.0,-0.2426868445825954,0.9701046827361175
Amaravati,2017-12-18,100.75,172.04,7.63,53.94,33.45,18.49,0.11,14.05,59.2,251.0,Poor,251.0,0,2017,12,0,352,Winter,228.0,225.0,156.0,140.0,147.0,173.66666666666666,158.14285714285714,108.06,167.62,47.05,0.08,16.05,70.74,26.0,-7.310000000000002,-2.4492935982947064e-16,1.0,-0.22596360824801906,0.974135744004672
Amaravati,2017-12-19,106.25,171.56,2.74,43.09,21.78,19.66,0.13,15.45,66.9,228.0,Poor,228.0,0,2017,12,1,353,Winter,223.0,251.0,225.0,156.0,179.0,210.66666666666666,173.0,100.75,172.04,53.94,0.11,14.05,59.2,-23.0,5.5,-2.4492935982947064e-16,1.0,-0.20917350564635637,0.9778785428342386
Amaravati,2017-12-20,83.79,141.83,6.77,47.47,30.74,17.37,0.3,13.35,77.54,223.0,Poor,223.0,0,2017,12,2,354,Winter,170.0,228.0,251.0,225.0,145.0,234.66666666666666,180.0,106.25,171.56,43.09,0.13,15.45,66.9,-5.0,-22.459999999999994,-2.4492935982947064e-16,1.0,-0.19232150523909483,0.9813319716704275
